ID_Point;Latitude;Longitude;Type_emplacement;Accessibilite;RefStation;Nb_places;RefOp;RefConnecteur;RefFabricant
FR*W75*EVP*0109*0001;48.8205622;2.3643333;trottoir;7/7-24/24;FR*W75*PVP*0109;1;OP02;CON03;F2
FR*W75*EVP*0110*0006;48.8279725;2.3721949;trottoir;7/7-24/24;FR*W75*PVP*0110;1;OP02;CON03;F2
FR*W75*EVP*0120*0001;48.83912;2.337229;trottoir;7/7-24/24;FR*W75*PVP*0120;1;OP02;CON03;F2
FR*W75*EVP*0122*0003;48.8266807;2.3237355;chaussée;7/7-24/24;FR*W75*PVP*0122;1;OP02;CON03;F2
FR*W75*EVP*0123*0001;48.83126;2.313088;trottoir;7/7-24/24;FR*W75*PVP*0123;1;OP02;CON03;F2
FR*W75*EVP*0125*0004;48.827687;2.3330017;trottoir;7/7-24/24;FR*W75*PVP*0125;1;OP02;CON03;F2
FR*W75*EVP*0126*0002;48.8367951;2.3186569;trottoir;7/7-24/24;FR*W75*PVP*0126;1;OP02;CON03;F2
FR*W75*EVP*0128*0002;48.8230593;2.322823;trottoir;7/7-24/24;FR*W75*PVP*0128;1;OP02;CON03;F2
FR*W75*EVP*0130*0002;48.8483434;2.3010296;mixte;7/7-24/24;FR*W75*PVP*0130;1;OP02;CON03;F2
FR*W75*EVP*0133*0003;48.8439105;2.2796928;trottoir;7/7-24/24;FR*W75*PVP*0133;1;OP02;CON03;F2
FR*W75*EVP*0133*0006;48.8439105;2.2796928;trottoir;7/7-24/24;FR*W75*PVP*0133;1;OP02;CON03;F2
FR*W75*EVP*0138*0002;48.8471694;2.2953347;mixte;7/7-24/24;FR*W75*PVP*0138;1;OP02;CON03;F2
FR*W75*EVP*0138*0006;48.8471694;2.2953347;mixte;7/7-24/24;FR*W75*PVP*0138;1;OP02;CON03;F2
FR*W75*EVP*0140*0002;48.8434786;2.2994811;trottoir;7/7-24/24;FR*W75*PVP*0140;1;OP02;CON04;F2
FR*W75*EVP*0142*0002;48.8447061;2.3198109;trottoir;7/7-24/24;FR*W75*PVP*0142;1;OP02;CON03;F2
FR*W75*EVP*0143*0005;48.8426446;2.3132661;trottoir;7/7-24/24;FR*W75*PVP*0143;1;OP02;CON04;F2
FR*W75*EVP*0146*0005;48.8724415;2.2915577;trottoir;7/7-24/24;FR*W75*PVP*0146;1;OP02;CON03;F2
FR*W75*EVP*0147*0003;48.8684739;2.2926576;trottoir;7/7-24/24;FR*W75*PVP*0147;1;OP02;CON03;F2
FR*W75*EVP*0153*0001;48.8538134;2.2768772;trottoir;7/7-24/24;FR*W75*PVP*0153;1;OP02;CON04;F2
