ID_Station;ID_Autolib;Nom_Station;Nom_Voie;CP
FR*W75*PVP*0174;75117-42;Paris/Ternes/6;6 AVENUE DES TERNES;75017
FR*V75*EBELI*57;NULL;AVENUE GOURGAUD;4 AVENUE GOURGAUD;75017
FR*V75*EBELI*72;NULL;RUE DE L'AMIRAL MOUCHEZ;77 RUE DE L AMIRAL MOUCHEZ;75013
FR*V75*EBELI*30;NULL;PLACE DU PANTHEON;17 PLACE DU PANTHEON;75005
FR*V75*EBELI*37;NULL;RUE DU BAC;35 RUE DU BAC;75007
FR*W75*PVP*0042;75107-10;Paris/Duroc/2;2 RUE DUROC;75007
FR*V75*EBELI*23;NULL;RUE SAINT MAUR;94 RUE SAINT MAUR;75011
FR*W75*PVP*0061;75109-07;Paris/Jules Lefèbvre/1;1 RUE JULES LEFEBVRE;75009
FR*V75*EBELI*79;NULL;BOULEVARD DE COURCELLES;12 BOULEVARD DE COURCELLES;75017
FR*X75*PVP*0003;NULL;INVALIDES;45 BOULEVARD DES INVALIDES;75007
FR*X75*PVP*0004;NULL;INVALIDES;45 BOULEVARD DES INVALIDES;75007
FR*X75*PVP*0008;NULL;INVALIDES;45 BOULEVARD DES INVALIDES;75007
